('bug', [13.253220695160003, 0.0002721119462850286])
('call', [11.267310243933336, 0.0007888394549746495])
('default', [11.267310243933336, 0.0007888394549746495])
('8', [10.16202228928, 0.0014336327748716144])
('bytebuffer', [10.16202228928, 0.0014336327748716144])
('option', [10.16202228928, 0.0014336327748716144])
('true', [10.16202228928, 0.0014336327748716144])
('abstractniostreamchannel', [10.042718026271185, 0.0015295135666046524])
('blocker', [10.042718026271185, 0.0015295135666046524])
('files', [10.042718026271185, 0.0015295135666046524])
('giving', [10.042718026271185, 0.0015295135666046524])
('handler', [10.042718026271185, 0.0015295135666046524])
('id', [10.042718026271185, 0.0015295135666046524])
('priority', [10.042718026271185, 0.0015295135666046524])
('rfe', [10.042718026271185, 0.0015295135666046524])
('stop', [10.042718026271185, 0.0015295135666046524])
('verification', [10.042718026271185, 0.0015295135666046524])
('application', [8.965429554866668, 0.0027513600292880212])
('false', [8.965429554866668, 0.0027513600292880212])
('local', [8.965429554866668, 0.0027513600292880212])
('number', [8.965429554866668, 0.0027513600292880212])
('transfer', [8.965429554866668, 0.0027513600292880212])
('int', [8.453213904657359, 0.00364398929439062])
('returns', [8.453213904657359, 0.00364398929439062])
('//', [7.659042740266669, 0.0056488468444768755])
('count', [7.659042740266669, 0.0056488468444768755])
('forever', [7.659042740266669, 0.0056488468444768755])
('perform', [7.659042740266669, 0.0056488468444768755])
('process', [7.659042740266669, 0.0056488468444768755])
('public', [7.659042740266669, 0.0056488468444768755])
('requested', [7.659042740266669, 0.0056488468444768755])
('setting', [7.659042740266669, 0.0056488468444768755])
('transferred', [7.659042740266669, 0.0056488468444768755])
('%s', [7.4096716118644075, 0.006487416380090712])
('/api/src/main/java/org/xnio/_private/messages', [7.4096716118644075, 0.006487416380090712])
('/nio-impl/src/main/java/org/xnio/nio/log', [7.4096716118644075, 0.006487416380090712])
('137', [7.4096716118644075, 0.006487416380090712])
('338', [7.4096716118644075, 0.006487416380090712])
('384', [7.4096716118644075, 0.006487416380090712])
('400', [7.4096716118644075, 0.006487416380090712])
('cancelled', [7.4096716118644075, 0.006487416380090712])
('deprecated', [7.4096716118644075, 0.006487416380090712])
('dr11', [7.4096716118644075, 0.006487416380090712])
('eap', [7.4096716118644075, 0.006487416380090712])
('exceptions', [7.4096716118644075, 0.006487416380090712])
